Mapping Ref,Ref,Project Name ,Sponsor ,LA,Pipeline First Cut ,Known HE involvement?,Postcode,Developer ,One Line Summary ,Number Of Units ,Site Size (hectares),Greenfield/Brownfield,Place-based Pipeline Y/N,Place-based Pipeline Link,Mix,SPP Priority Area Y/N,SPP Priority Area,Planning  Status ,Developer Status ,Land Ownership Type ,Procurement Route ,Enabling Works Start,Housing Start,Project Completion Date ,Market Failure Type,Intervention Required?,Revenue / Development Ask ,Intervention Type,Constraints,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1,RP001,Hawthorne Grove,Plus Dane,Halton,Short,0,PR9 7AA,Plus Dane ,"22 new build, 1 Bed Flats",22,0.29,Brownfield,,,100% Social Rent,No,No,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Package Deal With Contractor ,2026-02-26 00:00:00,2026-04-26 00:00:00,TBC,Market Power,1,,Viability gap ,"Viaility, Abnormals on site ",,,,,,,,,
2,RP002,Heysham Road,YHG,Sefton,Short,0,L30 6UR,Your Housing Group ,54 Affordable Homes ,54,1.5,,,,"50% Shared Ownership, 50% Social Rent/ affordable rent ",No,,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,ICN Framework ,2026-04-01 00:00:00,2026-04-01 00:00:00,TBC,,,,Viability gap Grant ,"Site viability, ground conditions",,,,,,,,,
3,RP003,Alder Hey,Torus ,Liverpool,Short,0,L12 2AZ,Torus ,8 units for Autism in one block,8,,Brownfield,,,Specialist/ Supported ,No,,Full/RM Consent in Place,Procurement/ Negotations underway ,Single Private,Package ,2025-09-26 00:00:00,2026-04-26 00:00:00,2027-11-01 00:00:00,,1,,Viability gap Grant ,"Demolition of existing creche on site not due to take place until Sept 25'.  A start on build could take place from Oct 25', under Step Places' current build programming.",,,,,,,,,
4,RP004,Ullswater Avenue ,Torus ,St Helens,Medium,0,WA11 7PT,Torus ,"33 Social Rent Units. 2,3,4 Bedroom homes & 1 bed flats ",33,1.49,Brownfield,,,100% Social Rent,No,,"No Allocation, No Planning Permission, expired permission or other ",Procurement/ Negotations underway ,Public,Negotiated Land and works Package,2026-07-01 00:00:00,2026-07-01 00:00:00,2028-12-01 00:00:00,,1,,Extensive site clearance and viability ,"The site will require extensive clearance, site investigations and possible removal of obstructions in the ground.",,,,,,,,,
5,RP005,"Carr Lane, Prescot ",Plus Dane,Knowsley,Short,0,L34 1AZ,Plus Dane Housing ,93 new homes in Prescot ,93,3.4,Brownfield,,,"23 Social Rent, 49 RTB, 16 Shared Ownership ",No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,Land and Build Package ,2026-05-26 00:00:00,2026-09-26 00:00:00,2028-09-01 00:00:00,Market Power,1,,"Viability gap, remdiation and validation costs ","Viability, abnormals, remidiation and validation costs.  Off site highway works also requried.",,,,,,,,,
6,RP006,Baltic 2 ,Torus ,Liverpool,Short,0,L1 0BE,Torus ,"93 RTB apartments, 4 commmercial units in 2 blocks linked by a central core.",93,0.15,Brownfield,,,100% RTB Apartments,No,,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Single Private ,Negotiated - Framework,2026-04-01 00:00:00,2026-06-01 00:00:00,2028-04-01 00:00:00,Market Power ,1,,Viability gap  ,"The area of the scheme is tight with it being squeezed in between 2 other developments which will make construction a challenge, the scheme is also subject to Gateway 2 and 3 sign offs.",,,,,,,,,
7,RP007,Sandy Lane ,Torus ,Liverpool,Short,0,L9 0EW ,Torus ,52 dwellings w/ landscaping at former Fold Hill Foods Factory,52,1.1,Brownfield,,,"30 Social Rent, 23 RTB",No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,"Site tendered by Breck via Savills, Torus has secured preferred bidder status and Heads of Terms are being finalised with Breck Homes Limited",2025-12-01 00:00:00,2026-01-01 00:00:00,2028-01-01 00:00:00,,1,,Viability gap ,Demolition and removal of existing buildings,,,,,,,,,
8,RP008,Cherryfield Drive ,Torus ,Knowsley,Short,0,L32 8SA,Torus ,145 new homes on a greenfield site in Kirby ,145,4.14,Greenfield,,,"51 Shared Ownership, 40 RTB, 40 Social Rent, 11 AR S106, 3 SO S106 ",No,,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Single Private,Partnered delivery via negotiated terms with Barrat David Wilson ,Started ,2025-12-25 00:00:00,2025-04-28 00:00:00,,1,,Viability gap,"Enabling works required including road, draingae and site servicing",,,,,,,,,
9,RP009,Cowley Hill Phase 1 ,Torus ,St Helens,Medium,1,WA10 2RZ,Torus ,Delivery of 212 units for affordable housing ,212,42,Brownfield,,St Helens Town Centre,"113 Social Rent, 61 Shared Ownership, 38 RTB",Yes,Cowley Hill ,Outline/Hybrid consent granted,D/C/RP procurement/negotiations underway,Public,JCT D&B,2026-01-26 00:00:00,2026-06-26 00:00:00,2029-06-01 00:00:00,,1,,Viability Gap,,,,,,,,,,
10,RP010,Ravenswood,Torus ,Wirral,Short,0,CH42 4AG,Torus ,Renovation of Grade 2 listed building into 8 social rented apartments,8,,Brownfield,,,100% social rent,Np,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Unknown,Direct Negotiations following previous contractor ceasing trading ,,2025-09-01 00:00:00,2027-03-01 00:00:00,,1,,Viability gap,Requirement of Listed Building consent. Agreement of scope of works from the Conservation Officer. Building in dangerous state of repair following water ingress and arson while in LA ownership,,,,,,,,,
11,RP011,Daresbury Garden Village ,Torus ,Halton,Short,0,WA4 4BT,Torus ,90 new homes in Daresbury Garden Village,90,3.2,Greenfield,,,"12 SR, 28 SO ",No,,Outline/Hybrid consent granted,D/C/RP procurement/negotiations underway,Single Private,Partnered Delivery Model with negotiated build contract with Castle Gren ,,2027-01-01 00:00:00,2028-09-01 00:00:00,,1,,Viability gap ,Affordable housing would not be deliverable without grant support,,,,,,,,,
12,RP012,Elton Head Road ,Torus ,St Helens,Medium,0,WA9 5HL,Torus ,"Delivery of 150 affordable units - a mix of shared ownership, rent to buy and social rent.",150,2.76,Greenfield,,,"82 SR, 58 SO",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,Package deal ,2026-09-01 00:00:00,2026-12-01 00:00:00,2029-11-01 00:00:00,,1,,Viability gap,Not Known,,,,,,,,,
13,RP013,Festival Gardens ,Regenda  ,Liverpool,Medium,1,L17 7EG,Regenda,Regenda has been picked as the Affordable provider as part of the consotrium with Igloo and Urban Splash to deliver 111 units (2 blocks) as part of the wider c850 units site ,111,11,Brownfield,,,"151 SR, 217 RTB, 33 SO, 107 Extra Care ",No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Public,Phased partnered delivery with Vistry,,2026-09-01 00:00:00,2029-09-01 00:00:00,,1,,Viability gap,Engineering and remediation complexity due to previous site use. ,,,,,,,,,
14,RP014,Gartons Lane ,Torus ,St Helens,Short,0,WA9 4RA,Torus ,Delivery of 50 affordable homes in partnership with Taylor Wimpey in St Helens. The proposed tenure mix includes 25 homes for Social Rent and 25 for Shared Ownership.,50,1.67,Greenfield,,,"25 SR, 25 SO",No,,0,,0,,,2026-07-01 00:00:00,2027-03-01 00:00:00,,1,,Viability gap,Viability gap grant to support 100% affordable housing delivery.,,,,,,,,,
15,RP015,Hale Gate Road ,Torus ,Halton,Short,1,WA8 8LZ,Torus ,"Delivery of 200 homes - a mix of tenures - Shared Ownership, Rent to Buy and Social Rent.",200,,Brownfield,,,"96 SR, 104 SO",Yes,Halebank,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,TBC,2026-01-01 00:00:00,2026-04-01 00:00:00,2030-01-01 00:00:00,,1,,Viability gap,,,,,,,,,,
16,RP016,Tramway Road ,SLH,Liverpool,Short,0,L17,South Liverpool Homes,"The scheme consists of 28 apartments split across two separate blocks. The scheme will consist of a mix of 1 & 2 bedroom apartments for Rent to Buy. The site is owned by South Liverpool Homes and has planning permission in place. 				",28,,Brownfield,,,100% RTB Apartments,No,,Allocated and/or planning application,Developer/contractor/RP in place for part of the site,Single Private,Land and works package,,2025-06-01 00:00:00,2027-01-01 00:00:00,,1,,Viability ,,,,,,,,,,
17,RP017,Hind Street,Torus ,Wirral,Medium,1,CH41 5DA,Torus ,Delivery of 100 homes for Torus - a mix of shared ownership and social rent,100,,Brownfield,,,"50 SR, 50 SO ",Yes,Hind St,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Public,TBC,,2027-03-01 00:00:00,2029-06-01 00:00:00,,1,,,,,,,,,,,,
18,RP018,Alexandra Drive,SLH,Liverpool,Short,0,L17,South Liverpool Homes,Conversion of Grade II 20 apartments and development of 40 new apartments ,60,,Brownfield,,,"20 SR. 20 RTB, 20 SO ",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,TBC,,2026-06-01 00:00:00,2028-01-01 00:00:00,,1,,Viability ,Significant cost to convert Grade II listed building ,,,,,,,,,
19,RP019,Grove Street,Regenda,Liverpool,Medium,0,L7 7EP,Regenda,"Delivery a further 215 high quality homes (in addition to the 89 currently being delivered in phase 1) within the Knowledge Quarter of Liverpool. These will be a mixture of outright sale, private rent and affordable housing. The development will also deliver three areas of commercial space.",215,,Brownfield,No,No,"58 SR, 84 RTB, 50 PRS, 23 Outrigh sale ",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Public,JCT Design and Build. Likely to Regenda Homes in house contractor M&Y Maintenance and Construction,2026-01-01 00:00:00,2027-01-01 00:00:00,2031-01-01 00:00:00,,1,N/a,Viability gap,"Requirment to relocate an existing substation to remove an easement. Viability challenges due to contractor availability and increasing construction costs, coupled with design improvements required to respond to New Building Regulations and the Buidling Safety Act",,,,,,,,,
20,RP020,LCC owned Speke Infill sites ,SLH,Liverpool,Medium,0,Multiple,South Liverpool Homes,The construction four additional bungalows to a vacant plot adjacent to an existing bungalow scheme in Leasowe.,130,,Brownfield,No,,Social Rent and Shared Ownership,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Public,TBC,,2026-10-01 00:00:00,2029-02-01 00:00:00,,1,,Viability gap,Design requirement as providing large wheelchair adaptable family homes. Service diversions. Financial viability due to small infill site nature,,,,,,,,,
21,RP021,Other Speke Infill Sites ,SLH,Liverpool,Medium,0,Multiple,South Liverpool Homes,"The scheme consists of a number of small infill sites across the Speke estate. The scheme will consist of a range of house types, from bungalows, apartments, and family housing. The scheme has potential for up to 130 properties in total.",35,,Brownfield,No,,100% SR ,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,TBC,,2027-04-01 00:00:00,2027-09-01 00:00:00,,1,,Viability gap,Design requirement as providing large wheelchair adaptable family homes. Service diversions. Financial viability due to small infill site nature,,,,,,,,,
22,RP022,Huyton Cricket Club,Torus ,Knowsley,Short,1,L36 7YP,Torus ,"Delivery of 81 affordable units - a mix of shared ownership, rent to buy and social rent",81,2.21,Brownfield,Yes,Huyton Town Centre,"41 SR, 48 SO",Yes,Huyton Town Centre,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,JCT,2026-04-01 00:00:00,2026-07-01 00:00:00,2028-08-01 00:00:00,,1,,,,,,,,,,,,
23,RP023,Lancots Lane Phase 2 ,Torus ,St Helens,Short,0,WA9 3EX,Torus ,"Delivery of 32 Social rent units with a mix of 2, 3 and 4 bedroom houses ",32,0.78,Brownfield,No,,32 SR,No,,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Single Private,Negotiated Land and works Package,2025-10-01 00:00:00,2026-01-01 00:00:00,2027-10-01 00:00:00,,1,,,"Enabling works including remediation, road, drainage, and site servicing",,,,,,,,,
24,RP024,Mill Street ,Torus ,Liverpool,Short,0,L8 6QZ,Torus ,A development of 46 homes is proposed on a main arterial route in North Liverpool.  The site falls within the proposed New Town area and is one of the key housing priority sites. There is a separate proforma on the wider New Town proposals and funding ask,62,0.75,Brownfield,No,,"30 Affordable Rent, 32 RTB",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,Direct delivery via negotiated package agreement with Stonebound.,,2026-01-01 00:00:00,2027-07-01 00:00:00,,1,,"Viability Gap for remidiation, technical design development and affordable delivery ",Cost of site remediation and abnormal foundations due to former commercial use -Urban density and design requirements impacting build cost,,,,,,,,,
25,RP025,Former Arundel Park Nursing Home,Sanctuary ,Liverpool,Medium,0,L8 0WN,Sanctuary,"Delivery of 36 units The location has been subject to various regeneration plans by LCC over the years. Sanctuary acquired a portfolio of care homes and three dated nursing homes on this site required closure. This project replaces two of care homes, with new purpose built independent living apartments for people over 55yrs. ",36,0.31,Brownfield,No,,36 Rent (gen Needs),No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,,2027-01-01 00:00:00,2029-01-01 00:00:00,,0,,,Planning Determination Delays,,,,,,,,,
26,RP026,Former Bishop Ct & Greenheys Lodge Nursing Home,Sanctuary ,Liverpool,Short,0,L8 0WN,Sanctuary ,"Delivery of 42 units. The location has been subject to various regeneration plans by LCC over the years. Sanctuary acquired a portfolio of care homes and three dated nursing homes on this site required closure. This project replaces two of care homes, with new purpose built independent living apartments for people over 55yrs. ",42,0.59,Brownfield,No,,42 Rent (Older Persons),No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,,2025-09-01 00:00:00,2027-03-01 00:00:00,,0,,,,,,,,,,,,
27,RP027,St Michaels & All Angels ,Torus ,St Helens,Short,0,WA9 4RA,Torus ,"Delivery of 55 affordable homes in St Helens through a 100% Rent to Buy model. The site will be brought forward in partnership with WestShield and will deliver high-quality new homes in a sustainable residential location, supporting local and regional affordable housing targets.",55,1.83,Brownfield,No,,55 RTB,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Direct Delivery through negotiated package agreement ,2026-03-01 00:00:00,2026-06-01 00:00:00,2027-01-01 00:00:00,,1,,Viability gap grant to enable full delivery of Rent to Buy tenure at affordable levels.,"Site viability, ground conditions",,,,,,,,,
28,RP028,Sussex Grove & Allanson Street,Torus ,St Helens,Short,0,WA9 1QH ,Torus ,"Torus is in talks with St Helens Council to acquire land at Sussex Grove to develop 35 homes for Social Rent, to be delivered in conjunction with a small parcel of Torus owned land nearby in Allanson Street with 6 homes for Social Rent.",41,1.1,Brownfield,Yes,St Helens Town Centre,41 SR,Yes,Fingerpost & Parr,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Mixed - Public/Private ,Use of Internal Contractor HMS,2026-04-01 00:00:00,2026-04-01 00:00:00,2028-03-01 00:00:00,Market Power ,1,,Viability gap,"There are significant known constraints within the site including an existing drain which will require diversion into an adjacent brook, a coal mining shaft within the site and biodiversity target challenges due to the site being relatively small in size and now overgrown having been vacant for many years. ",,,,,,,,,
29,RP029,St Michaels Place,Torus ,Knowsley,Short,1,L36 5RT ,Torus ,"The scheme will deliver 73 affordable homes for Rent to Buy on a brownfield site within Huyton Town Centre. This development supports the town centre regeneration vision and provides a high-quality, tenure-specific offer for working households looking to transition into home ownership.",73,2.4,Brownfield,Yes,Huyton Town Centre,73 RTB ,Yes,Huyton Town Centre,0,Procurement/ Negotiations underway ,0,Internal negotiated package with HMS (Torus Group contractor),2026-03-01 00:00:00,2026-10-01 00:00:00,2028-03-01 00:00:00,,1,,BIL funding to be used to remediate the site. ,Site abnormal costs including demolition and remediation- Grant dependency to maintain Rent to Buy tenure balance and affordability- Town centre interface requiring careful design and stakeholder engagement,,,,,,,,,
30,RP030,Halsnead Ph 2,YHG,Knowsley,Medium,0,L35 3BF,Your Housing Group ,"Residual phase of 81 homes, detailed planning approval secured (23/02378/REM) ",81,2,Greenfield,No,,60% Shared ownership 20% Rent to Buy                20% Social Rent ,No,,Outline/Hybrid consent granted,Developer/contractor/RP in place for part of the site,Single Private,ICN Framework ,2026-04-01 00:00:00,Q3 2026,TBC,,0,,,,,,,,,,,,
31,RP031,Halsnead - Windy Arbor Road,YHG,Knowsley,Medium,0,L35 3BF,Your Housing Group ,"100 over 55's apartments and 38 homes, outline planning approval secured (20/00399/OUT) ",138,2,Greenfield,No,,60% Shared ownership 20% Rent to Buy                20% Social Rent ,No,,Outline/Hybrid consent granted,Developer/contractor/RP in place for part of the site,Single Private,ICN Framework ,2026-04-01 00:00:00,Q3 2028,,,0,,,,,,,,,,,,
32,RP032,Stork Inn,Torus ,St Helens,Short,0,WN5 7HA,Torus ,"Delivery of 26 social rent apartments, 8 of which will be a refubishment of the former public house at Stork Inn and the remaining 18 units will be a new build apartment block.",26,1.6,Brownfield,No,,28 SR ,No,,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Public,"Package, awarded following the collapse of SEP",2025-03-01 00:00:00,2026-04-01 00:00:00,2027-11-01 00:00:00,Public good issue,1,,Discussions ongoing with St Helens Council with regards to the refurbishment of the former public house as how refurbishment can be carried out without full demolition of the building.,"The condition of the structure of the former public house is a significant concern with regards to condition of the existing footings and walls, there is likely to be significant 'un known' costs associated with re furbishment of this building.",,,,,,,,,
33,RP033, Strawberry Tavern,Plus Dane Housing,Liverpool,Short,1,L6 5DR,Plus Dane Housing,Scheme will rovide 30 new homes for social rent,30,0.19,Brownfield,No,,Social Rent,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Direct negotiations with developer,2026-10-01 00:00:00,2026-12-01 00:00:00,2027-06-01 00:00:00,Market Power,1,,Viability Gap,Viability,,,,,,,,,
34,RP034,Higher Lane,Miller Homes / Cobalt ,St Helens,In Delivery,0,WA11 8EQ,Miller Homes,Comprises of 307 dwellings in total. S106 for 92 units,92,12.61,Greenfield,No,,Shared ownership & affordable rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Package deal,Commenced,Commenced,2029-07-01 00:00:00,Market Power,0,,"Site investigations, design, viability gap",Original allocation as greenfield land,,,,,,,,,
35,RP035,Ribble Road Liverpool Plus Dane,Plus Dane Housing,Liverpool,Short,1,L25 5PN,Plus Dane Housing,Potential redevelopment of existing vacant garage sites - 12 units,12,0.3,Brownfield,No,,12 social rent,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Single Private,Traditional,2026-09-01 00:00:00,2026-12-01 00:00:00,2027-12-01 00:00:00,Market Power,1,,Viability Gap,"Planning, Distinguish any rights over the existing garages",,,,,,,,,
36,RP036,"Park Road, Toxteth",Plus Dane Housing,Liverpool,Short,1,L8 6SJ,TBC - possibly Starship,Scheme formerly Plus Dane's offices + one stop shop owned by Liverpool Council,90,,Brownfield,Yes,North  Liverpool ,Social Rent,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Public,Negociated - Framework,2026-07-01 00:00:00,2026-09-01 00:00:00,2028-09-01 00:00:00,Market Power,1,none,"Viability gap, / funding to mitigate and assist with site remediation and demolition",Detailed planning  is required and design needs to cater for trees at the boundary. Freehold ownership is with Liverpool Council,,,,,,,,,
37,RP037, Gorseywell Lane,Plus Dane Housing,Halton,Medium,1,WA7 3AP,Plus Dane Housing,38 new homes to for social rent and to buy,38,0.99,Brownfield,No,,Mixed,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Direct negotiations with developer,2027-01-01 00:00:00,2027-03-01 00:00:00,2029-03-01 00:00:00,Market Power,1,,Viability Gap,Viability,,,,,,,,,
38,RP038,Stuart Road,Plus Dane Housing,Liverpool,Medium,1,L20 9ED,Plus Dane Housing,Scheme will provide 30 new homes for social rent and to buy,80,2.32,Brownfield,No,,Mixed,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Direct negotiation with developer,2027-01-01 00:00:00,2027-03-01 00:00:00,2029-03-01 00:00:00,Market Power,1,,Viability Gap,Viability,,,,,,,,,
39,RP039, Three Fiddlers,Plus Dane Housing,Halton,Short,1,WA7 2LH,Plus Dane Housing,Scheme will provide 18 new homes for social rent,32,0.18,Brownfield,No,,Social Rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Private,Competitive Tender,2026-10-01 00:00:00,2026-12-01 00:00:00,2027-06-01 00:00:00,Market Power,1,,Viability Gap,Viability,,,,,,,,,
40,RP040,Stonedale Crescent,Cobalt,Liverpool,Short,1,L11 9BU,Cobalt Housing,Current proposal will deliver 73 homes to cobalt for rent to buy and affordable rent and ranging from1 bedroom flats to 5 bedroom,70,6.7,Brownfield,Yes,North Liverpool,Social Rent ,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Direct award,2025-07-01 00:00:00,2025-12-01 00:00:00,2026-12-01 00:00:00,Market Power,1,,"Site investigations, design, viability gap","Multiple land owners, stalled sites, site viability, ground conditions",,,,,,,,,
41,RP041,Halsnead Garden Village (Lickers Lane),Vistry / Cobalt,Knowsley,Short,1,L35 1AU,Vistry,"Stalled site, building partly built. Consent to erect 2 no. linked blocks of between three and five-storeys with secure undercroft parking to provide 70 no. units of residential accommodation, and carry out associated landscaping and ancillary works. Prominent site now in administration and receiver appointed. Funding support needed to facilitate the site being completed by addressing viability issues. Securing the development of the site will remove a significant neighbourhood and city blight and bring forward a high number of housing units in a key location.  Site is located within the proposed New Town area, which is subject to a separate proforma for the wider area.",66,3.4,Greenfield,No,,Rent to buy & affordable rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Package Deal,Commenced,Commenced,2026-06-01 00:00:00,Market Power,0,,"Design, Viability Gap",Multiple landowners,,,,,,,,,
42,RP042,Birchfield ,Halton Housing ,Halton,Medium,0,WA8 9EH,,An independent Living development for older persons. ,75,2.84,Greenfield,Yes,Widnes,"AR, SO, ORS",No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,TBC,2026/27,2026/27,2028/29,,0,,TBC,,,,,,,,,,
43,RP043,Crow Wood Lane,Halton Housing ,Halton,Short,0,WA8 3PN,,"Supported living scheme for Adults with additional needs relating to disabilities or health conditions, comprising of 10 x1 Bedroom apartments with communal facilities and 3 x 2 bedroom bungalows for 24/7 live-in care support for Halton Borough Council Adult Social Services. ",13,0.22,Brownfield,Yes,Widnes,Social rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Direct Award,2025-07-01 00:00:00,2027-07-01 00:00:00,2026-08-01 00:00:00,,1,,Viability gap,,,,,,,,,,
45,RP045,King Street,Halton Housing ,Halton,Short,0,WA7 1LL,,"The proposed development provides 6nr affordable homes and acts as a catalyst for the nearby Runcorn Waterfront regeneration scheme, the development of the site is a key part of the design to connect the waterfront site and the public realm with the town centre . high street. ",6,0.1,Brownfield,Yes,Runcorn,TBC,Yes,Runcorn Town Centre,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Mixed - Public/Private ,TBC,2026/27,2027/28,2030/31,,1,,Viability,Private landowner and Viaibility,,,,,,,,,
46,RP046,Kingsway Quarter ,Halton Housing ,Halton,Short,0,WA8 7QH,,The redevelopment of a town centre site to introduce housing into the town centre as part of the Widnes Town Centre Regeneration Framework,218,2.4,Brownfield,Yes,Widnes,Social Rent and Shared Ownership,Yes,Widnes Town Centre,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,TBC,2026/27,2027/28,2029/30,,0,,,,,,,,,,,,
47,RP047,Runcorn Waterfront ,Halton Housing ,Halton,Medium,0,WA7 1DN,,"The scheme is the regeneration of existing housing stock and a cleared site owned by the Local Authority to regenerate a waterside location to provide high quality general needs housing, high quality public space and contribute to the wider Runcorn town centre. ",80,1,Brownfield,Yes,Runcorn,Social Rent and Shared Ownership,Yes,Runcorn Town Centre,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Public,TBC,2027/28,2027/28,2029/30,,1,,Viability,,,,,,,,,,
48,RP048,Rutland Street,Halton Housing ,Halton,Short,0,WA7 1EF,,The project goal is to develop 27 Homes as well as a Care Home facility on the site. ,27,0.028,Brownfield,Yes,Runcorn,Affordable Rent and Shared Ownership ,Yes,Runcorn Town Centre,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Public,TBC,2026/27,2026/27,2027/28,,0,,Remediation. Viability.,"Access issues (access via a low bridge), known contamination, possible mine shafts.",,,,,,,,,
49,RP049,St Chads ,Halton Housing ,Halton,Medium,0,WA7 5JF,,The development of 75 affordable homes that has the potential to act as enabling development for the regeneration of a nearby site. ,75,3.3,Greenfield,Yes,Runcorn,Social Rent and Shared Ownership,Yes,Halton Lea,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Public,TBC,2027/28,2027/28,2029/30,,0,,,"Multiple landowners.   Brownfield, possibly contamination.",,,,,,,,,
50,RP050,Old Upton Lane ,Halton Housing ,Halton,Short,0,WA8 9PA,,Package deal proposal to deliver 28 units,28,0.91,Greenfield,Yes,Widnes,"Social rent, affordable rent and Shared Ownership ",No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Package Deal ,2026/27,2026/27,2027/28,,0,,,,,,,,,,,,
51,RP051,Walton Breck Road ,Onward,Liverpool,Short,0,L4 0RD,Onward,"Walton Breck Road is a scheme in Liverpool, it has 22 units altogether which is made up of 18x 1 bedroom apartments and 4x 2 bedroom apartments all for affordable rent.",22,0.8,Brownfield,Yes,North Liverpool,Affordable Rent,Yes,North Liverpool Regeneration,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Developer Led with Design and Build Contract ,2025-11-01 00:00:00,2025-11-01 00:00:00,2027-11-01 00:00:00,,0,,,None ,,,,,,,,,
52,RP052,"Baileys Lane, Halewood ",Onward,Knowsley,Short,0,L26 0TY,Onward,"The proposed scheme will deliver 18 affordable homes, comprising nine x one-bedroom apartments and three x two-bedroom apartments.  All will be let at Social Rent.",18,0.31,Brownfield,No ,,Social Rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Package Deal,2026-03-01 00:00:00,2026-04-01 00:00:00,,,0,"£2,070,000.00",,,,,,,,,,,
53,RP053,Ullet Road ,Onward,Liverpool,Short,0,L8 3TF,Onward,"The proposed scheme will deliver 15 affordable homes, comprising five x one-bedroom apartments, nine x two-bedroom apartments and one x three-bedroom apartments.  All will be available for Shared Ownership.",15,0.1,Brownfield,No ,,Shared Ownership,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Package Deal ,2026-03-01 00:00:00,2026-04-01 00:00:00,,,0,"£1,305,000.00",,,,,,,,,,,
