Mapping Ref,Ref,Project Name ,Sponsor ,LA,Pipeline First Cut ,Known HE involvement?,Postcode,Developer ,One Line Summary ,Number Of Units ,Site Size (hectares),Greenfield/Brownfield,Place-based Pipeline Y/N,Place-based Pipeline Link,Mix,SPP Priority Area Y/N,SPP Priority Area,Planning  Status ,Developer Status ,Land Ownership Type ,Procurement Route ,Enabling Works Start,Housing Start,Project Completion Date ,Market Failure Type,Intervention Required?,Revenue / Development Ask ,Intervention Type,Constraints,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
218,WIR002,Conway Park West (Europa Pool Site),Wirral,Wirral,Long,0,CH41 6RN,,80 unit site in Birkenhead Town Centre Masterplan.,80,1.1,Brownfield,No,,"Policy WS 3.3, within Viability Zones 1 (VZ-1) and 2 (VZ-2),  new-build market housing of 10 or more dwellings >  tenure blind affordable housing within the site at 10%.",Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,,,2031,2031,Market power,0,,"Remediation, site investigations, design and viability gap",Viability,,,,,,,,,
219,WIR003,Hemingford Street (Mecca Bingo),Wirral,Wirral,Long,0,CH41 4PF,,125 unit site in Birkenhead Town Centre Masterplan.,125,0.6,Brownfield,No,,"Policy WS 3.3, within Viability Zones 1 (VZ-1) and 2 (VZ-2),  new-build market housing of 10 or more dwellings >  tenure blind affordable housing within the site at 10%.",Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,,,2031,2033,Market power,0,,"Demolition of existing structures. Received £1,350,000 from NHS, £2m from AHP ",Viability,,,,,,,,,
220,WIR004,Walton Street Car Park ,Wirral,Wirral,Long,0,CH41 6HH,,50 unit site in Birkenhead Town Centre Masterplan.,50,0.2,Brownfield,No,,"Policy WS 3.3, within Viability Zones 1 (VZ-1) and 2 (VZ-2),  new-build market housing of 10 or more dwellings >  tenure blind affordable housing within the site at 10%.",Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Mixed - Public/Private ,,2028,2029,2031,Market power,0,,"land acquisition, remediation, site investigations, design and viability gap","multiple landowners, viability",,,,,,,,,
221,WIR005,St Johns (Surface Car Park),Wirral,Wirral,Long,0,CH41 6HY,,100 unit site in Birkenhead Town Centre Masterplan.,100,0.22,Brownfield,No,,"Policy WS 3.3, within Viability Zones 1 (VZ-1) and 2 (VZ-2),  new-build market housing of 10 or more dwellings >  tenure blind affordable housing within the site at 10%.",Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,,,2029,2031,Market power,0,,"Remediation, site investigations, design and viability gap",Viability,,,,,,,,,
222,WIR006,Bebington Town Hall,Wirral,Wirral,Medium,0,CH63 7PT,,60 unit site in Bebington.,60,0.73,Brownfield,No,,Affordable or social rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,Tender - competitive flexible procedure ,2028-01-01 00:00:00,2028-04-01 00:00:00,2029-09-01 00:00:00,Public good issue,1,,Site preparation,"Access road required to be kept to day centre, which reduces developable land area",,,,,,,,,
223,WIR007,Seaview Road Car Park,Wirral,Wirral,Medium,0,CH45 4LA,,80 unit site in Liscard.,80,0.81,Brownfield,No,,Affordable or social rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,Tender - competitive flexible procedure ,2027-08-01 00:00:00,2027-11-01 00:00:00,2029-11-01 00:00:00,Public good issue,0,,None - funded by LUF2- although AHP likely to be required,Low land value,,,,,,,,,
224,WIR008,Wallasey Town Hall Annexes,Wirral,Wirral,Medium,0,CH44 8ED,,80 unit site in Wallasey.,80,0.48,Brownfield,No,,Affordable or social rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,Tender - competitive flexible procedure ,2026-12-01 00:00:00,2027-03-01 00:00:00,2029-03-01 00:00:00,Public good issue,0,,Site enablement works are being funded by BLRF to assist with viability gap,Low land value,,,,,,,,,
225,WIR009,Price Street,Wirral,Wirral,Medium,1,CH41 3RT,,100 unit site in Birkenhead Town Centre Masterplan.,100,1.4,Brownfield,No,,"Policy WS 3.3, within Viability Zones 1 (VZ-1) and 2 (VZ-2),  new-build market housing of 10 or more dwellings >  tenure blind affordable housing within the site at 10%.",Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,TBC,2026-03-01 00:00:00,2026,2028,Market power,0,,Design and viability gap,Viability,,,,,,,,,
226,WIR010,House of Fraser,Wirral,Wirral,Long,1,CH41 6ED,,224 unit site in Birkenhead Town Centre Masterplan.,224,0.2,Brownfield,No,,"Policy WS 3.3, within Viability Zones 1 (VZ-1) and 2 (VZ-2),  new-build market housing of 10 or more dwellings >  tenure blind affordable housing within the site at 10%.",Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,TBC,2026,2026,2028,Market power,0,,Viability gap,Viability,,,,,,,,,
227,WIR011,Hind Street Phases C-E,Wirral,Wirral,Long,1,CH41 5DA,Ion,"900 unit site near Birkenhead Town Centre, previous phases supported by CRSTS and BIL.",900,16,Brownfield,Yes,Hind Street,10% affordable.,Yes,Hind St,Outline/Hybrid consent granted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Mixed - Public/Private ,Framework,2030,2035,,Market power,1,TBC,"Remediation, land assembly, site investigations, infrastructure",Land remediation and site preparation required. Majority is Ion's land with some freehold in other private ownership,,,,,,,,,
228,WIR012,Woodside Gyratory,Wirral,Wirral,Long,0,CH44 8ED,TBC,Up to 280 unit site on Birkenhead Waterfront,280,0.3,Brownfield,Yes,Wirral LCWIP,TBC,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Mixed - Public/Private ,TBC,2026-06-01 00:00:00,2027-01-01 00:00:00,2028-11-01 00:00:00,Market power,1,1000000,"SI, design work (to take to planning) and viability gap.",Coming to an agreement with adjacent landowner and generall viability constraints.,,,,,,,,,
229,WIR013,Bromborough Wharf East,Wirral,Wirral,Long,0,CH62 3JQ,Grammont Group,598 units on former industrial site. 200/598 units are Affor-housing.,598,14.4,Brownfield,No,,Mixed Tenure,No,No,Outline/Hybrid consent granted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2026/27,2026/27,2034/35,Public good issue,0,,Remediation,Extensive remediation required to land on site reducing viability,,,,,,,,,
230,WIR014,Bromborough Wharf West,Wirral,Wirral,Long,0,CH62 3JQ,Bromborough Riverside Regeneration Ltd.,337 housing units on a former  industrial site.,377,9.1,Brownfield,No,,Mixed Tenure,No,No,Outline/Hybrid consent granted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2026/27,2026/27,2034/35,Public good issue,0,,Remediation,Extensive remediation required to land on site reducing viability,,,,,,,,,
231,WIR015,Trafalgar Road,Wirral,Wirral,Medium,0,CH44 0DZ,Wirral Methodist Housing Association,15 housing units in Wallasey,15,0.088,Brownfield,No,,Affordable or social rent,No,No,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,,2026/27,2026/27,2028/29,Public good issue,0,,,,,,,,,,,,
232,WIR016,Oliver Lane (House of Fraser East),Wirral,Wirral,Medium,1,CH41 6ED,,Eastern section of House of Fraser site - 80 units,80,0.16,Brownfield,No,,"Policy WS 3.3, within Viability Zones 1 (VZ-1) and 2 (VZ-2),  new-build market housing of 10 or more dwellings >  tenure blind affordable housing within the site at 10%.",Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Public,TBC,2026,2026,2028,Market power,0,TBC,"designs, viability",viability,,,,,,,,,
233,WIR017,Dock Branch Neighbourhood,Wirral,Wirral,Long,0,CH41 5BT,,Dock Branch Neighbourhood - 990 units with Phase 1 to deliver circa 145 units around Argyle Quarter,990,,Brownfield,No,,,Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Mixed - Public/Private ,,2027,2028,,,1,,"Viability, site assembly, demolition and enabling works","Multiple landowners, viability gap",,,,,,,,,
233,WIR018,Hind Street Phases A & B,Wirral,Wirral,Medium,0,CH41 5DA,,"533 unit site near Birkenhead Town Centre, previous phases supported by CRSTS and BIL.",533,10.9,Brownfield,Yes,,Max. requirement of 10% affordable,Yes,Central Birkenhead,Outline/Hybrid consent granted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Mixed - Public/Private ,Framework ,2026-03-01 00:00:00,2028-10-01 00:00:00,2030-03-01 00:00:00,Market power,0,,Funding approved via LCRCA CRSTS subject to Gateway 4 approval,Remediation and enabling works - already funded,,,,,,,,,
233,WIR019,"Pasture Road ECH, Moreton ",Wirral,Wirral,Short,0,CH46 7TJ,Alpha,"80 units Extra Care Housing scheme for older people, part of Vistry development",80,,Brownfield,No,,,,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,Package Deal,2025-03-01 00:00:00,2025-03-01 00:00:00,2027-05-01 00:00:00,,0,,,,,,,,,,,,
235,STH001,Alexandra Park,St Helens,St Helens,Long,1,WA10 3TP,,c.308 unit site converting Grade II listed buildings and small greenfield plot.,308,10.84,Mixed,Yes,Bus Transformation,"TBD, likely BTR",Yes,Alexandra Park,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Single Private,The site is being actively marketed for disposal by its owner with live development interest,2026/27,2027/28,2033/34,Institutional failure at local level,0,,Planning and Viability ,Grade II listed building status and registered park and garden,,,,,,,,,
236,STH002,Banner Street,St Helens,St Helens,Medium,0,"WA10 3SX				",,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of Runcorn,29,0.41,Brownfield,Yes,Bus Transformation,TBD,Yes,Earlestown,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Open market disposal in Summer 2025,2026/27,2027/28,2028/29,Market power,0,,Remediation and resultant viability gap,Potential remediation challenges,,,,,,,,,
237,STH003,Cowley Hill Phase 2+,St Helens,St Helens,Long,1,WA10 2RZ,Torus and TBD,1100 unit site on former Pilkingtons Glass site,600,31.09,Brownfield,No,,Affordable housing in first phase.  Market housing in later phases.,Yes,Cowley Hill,Outline/Hybrid consent granted,D/C/RP procurement/negotiations underway,Single Private,Owners looking for disposal of development plots within the outline permission.,Started,2025-03-26 00:00:00,First phase around 2027.  Later phases 2028 onwards.,Market power,0,,Remediation.  Viability gap.,Contamination.  Demolition. Site levels  ,,,,,,,,,
238,STH004,Earlestown Town Centre,St Helens,St Helens,Long,1,"WA12 9AQ				",,c. 60 unit site in Earlestown Town Centre Masterplan,60,TBD,Brownfield,Yes,Earlestown,TBD,Yes,Earlestown,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,TBD - various opportunity sites,2026/27,2028/29,2031/32,Institutional failure at local level,0,,"SI's, acquisition, remediation, viability",Multiple landowners,,,,,,,,,
239,STH005,"Fairclough Street, Newton-le-Willows",St Helens,St Helens,Medium,0,WA12 9QR,Built Development Ltd,53 unit site on the edge of the Earlestown Conservation Area,53,0.41,Brownfield,Yes,Earlestown,TBD,Yes,Earlestown,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,TBD,2026/27,2027/28,2029/30,Institutional failure at local level,0,,Viability gap,Viability,,,,,,,,,
240,STH006,"Former Alfred Knight Ltd, Prescot Road",St Helens,St Helens,Medium,0,WA10 3BQ,Stonebond,38 unit site on a former chemical factory,38,1.44,Brownfield,No,,Market housing,No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2025-26,2026-27,2029/30,Imperfect information,0,,Viability gap,Viability relating to site remediation,,,,,,,,,
241,STH007,"Red Quarry , Chester Lane",St Helens,St Helens,Long,0,WA9 4LA ,Breck Homes,76 unit site on former quarry and landfill,76,1.92,Brownfield,No,,TBD,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Private,,Unknown until contamination issues are resolved,,,Imperfect information,0,,Remediation and viability gap,"Contaminated land issues including ground gas and contaminants in soil.	",,,,,,,,,
242,STH008,"Laffak Road, St Helens 			",St Helens,St Helens,Medium,0,WA11 9LG,Aldi ,72 bed residential care home alongside with commercial units,72,2.89,Brownfield,Yes,Carrmill,,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place for part of the site,Single Private,,2025/26,Unknown,Unknown,Public good issue,0,,Viability gap,Grant Funding ,,,,,,,,,
243,STH009,Monastery Lane,St Helens,St Helens,Medium,0,WA9 3SW,Morris Homes,69 unit site in the Sutton area,69,5.59,Brownfield,No,,Market,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2026/27,2027/28,2029/30,Market power,0,,Remediation,Remediation required.  Including contaminants associated with former railways.,,,,,,,,,
